x,y,line,algo,step,reward,zeros,sum,biggest,a0,a1,a2,a3,a4,a5,a6,a7,a8,cnt0,cnt2,cnt4,cnt8,cnt16,cnt32,cnt64,cnt128,cnt256,cnt512,cnt1024,cnt2048
0,6,random-0,random,0,0,6,6,2,0,2,2,0,0,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0
4,6,random-0,random,1,4,6,10,4,0,0,4,0,0,0,0,2,4,6,1,2,0,0,0,0,0,0,0,0,0
12,6,random-0,random,2,12,6,14,8,0,2,8,0,0,0,4,0,0,6,1,1,1,0,0,0,0,0,0,0,0
12,5,random-0,random,3,12,5,16,8,2,8,0,0,0,0,4,2,0,5,2,1,1,0,0,0,0,0,0,0,0
12,4,random-0,random,4,12,4,20,8,2,8,4,4,2,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0
12,3,random-0,random,5,12,3,22,8,2,8,4,4,2,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0
12,2,random-0,random,6,12,2,24,8,2,8,4,4,2,0,2,2,0,2,4,2,1,0,0,0,0,0,0,0,0
16,2,random-0,random,7,16,2,26,8,2,8,4,4,2,2,4,0,0,2,3,3,1,0,0,0,0,0,0,0,0
24,2,random-0,random,8,24,2,28,8,0,0,2,2,8,4,8,2,2,2,4,1,2,0,0,0,0,0,0,0,0
28,2,random-0,random,9,28,2,30,8,2,0,2,2,8,4,0,8,4,2,3,2,2,0,0,0,0,0,0,0,0
32,2,random-0,random,10,32,2,32,8,4,0,0,2,8,4,8,4,2,2,2,3,2,0,0,0,0,0,0,0,0
32,1,random-0,random,11,32,1,34,8,4,2,0,2,8,4,8,4,2,1,3,3,2,0,0,0,0,0,0,0,0
32,0,random-0,random,12,32,0,36,8,4,2,2,2,8,4,8,4,2,0,4,3,2,0,0,0,0,0,0,0,0
36,0,random-0,random,13,36,0,38,8,4,4,2,2,8,4,8,4,2,0,3,4,2,0,0,0,0,0,0,0,0
